"Monday_time","Monday_dur","Tuesday_time","Tuesday_dur","Wednesday_time","Wednesday_dur","Thursday_time","Thursday_dur","Friday_time","Friday_dur","Saturday_time","Saturday_dur","Sunday_time","Sunday_dur","School_arch","School_div","School_fes","School_som","School_sph","School_yc"
NA,NA,NA,NA,11,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,14,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,15.5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
12,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
NA,NA,12,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
NA,NA,NA,NA,12,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,NA,NA,12,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,NA,NA,18.5,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,8.5,80,NA,NA,8.5,80,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,9,80,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
9.5,80,NA,NA,9.5,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
13,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,13,80,NA,NA,13,80,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
NA,NA,13.5,80,NA,NA,13.5,80,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA
NA,NA,13.5,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
10.1666666666667,80,NA,NA,10.1666666666667,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,10.5,80,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,12,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,12,80,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
15,80,NA,NA,15,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,15,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
17,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,NA,NA,17.5,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
8,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,NA,NA,9.41666666666667,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
13,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,13,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,13,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,NA,NA,13,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,13.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA
10,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,10,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,10,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,NA,NA,10,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,10,110,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
10.1666666666667,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,12,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,15,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,NA,NA,15,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,17,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
18,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
NA,NA,18,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,NA,NA,15,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
10.5,50,NA,NA,10.5,50,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA
NA,NA,11.75,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
11.5833333333333,75,NA,NA,11.5833333333333,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
8.5,80,NA,NA,8.5,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,80,NA,NA,13,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,10.1666666666667,80,NA,NA,10.1666666666667,80,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
14.6666666666667,80,NA,NA,14.6666666666667,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,14.6666666666667,80,NA,NA,14.6666666666667,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
16.1666666666667,80,NA,NA,16.1666666666667,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
8.5,90,NA,NA,8.5,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,8.5,90,NA,NA,8.5,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
9.16666666666667,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,NA,13.1666666666667,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
15.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
NA,NA,15.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
NA,NA,NA,NA,17.1666666666667,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,8.5,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,8.5,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,NA,8.5,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,NA,NA,NA,8.5,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
13,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,13,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NA,NA,NA,13,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,NA,NA,NA,13,180,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NA,14.6666666666667,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,NA,14.6666666666667,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,NA,NA,NA,14.6666666666667,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
16.1666666666667,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,16.1666666666667,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,NA,16.1666666666667,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
18,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,NA,10.1666666666667,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
NA,NA,10.5,50,NA,NA,10.5,50,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
NA,NA,NA,NA,10.5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,9,75,NA,NA,9,75,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,11.5833333333333,75,NA,NA,11.5833333333333,75,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,13,75,NA,NA,13,75,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1
14.5,75,NA,NA,14.5,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,14.5,75,NA,NA,14.5,75,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
9,80,NA,NA,9,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
NA,NA,10,80,NA,NA,10,80,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
10.5,80,NA,NA,10.5,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,10.5,80,NA,NA,10.5,80,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,11.5,80,NA,NA,11.5,80,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
14.5,80,NA,NA,14.5,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,14.5,80,14.5,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,14.5,80,NA,NA,14.5,80,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
16,80,NA,NA,16,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,16,80,NA,NA,16,80,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,16,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,16,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
16.1666666666667,90,16.1666666666667,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,10.1666666666667,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,10.1666666666667,110,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,11,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
NA,NA,12.1666666666667,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,13.5,110,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,15.5,110,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,17.5,110,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
18.1666666666667,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
13,120,NA,NA,13,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,13,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,16.5,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,8.5,170,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
9,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,9,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,10,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,10,170,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,13,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,13,170,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,14.5,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,14.5,170,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,16.5,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,18,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
