"Monday_time","Monday_dur","Tuesday_time","Tuesday_dur","Wednesday_time","Wednesday_dur","Thursday_time","Thursday_dur","Friday_time","Friday_dur","Saturday_time","Saturday_dur","Sunday_time","Sunday_dur","School_arch","School_div","School_fes","School_som","School_sph","School_yc"
NA,NA,NA,NA,NA,NA,NA,NA,10,180,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,13,180,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,18.5,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,8.5,200,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,13,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,13.5,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,8,240,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
8.5,50,NA,NA,8.5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
8.5,50,NA,NA,8.5,50,NA,NA,8.5,50,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
9.5,50,NA,NA,9.5,50,NA,NA,9.5,50,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
11.5,50,NA,NA,11.5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,11.5,50,NA,NA,11.5,50,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
11.5833333333333,50,NA,NA,11.5833333333333,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,9,80,NA,NA,9,80,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
13.5,80,NA,NA,13.5,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
16,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,16,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,16,80,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,15.5,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,90,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,8.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,8.5,110,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
13.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
NA,NA,NA,NA,13.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,13.5,110,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,15.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
19,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,13.5,140,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,18,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,13.5,170,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,13.5,180,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,18,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
16.5,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,570,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,11.5833333333333,50,NA,NA,11.5833333333333,50,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
9.41666666666667,50,NA,NA,9.41666666666667,50,NA,NA,9.41666666666667,50,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,14,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,16,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,17,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
13,75,NA,NA,13,75,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
NA,NA,14,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,9.5,90,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
13.5,110,NA,NA,13.5,110,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
11,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,11,110,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,11,110,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,11,110,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,14,110,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
9,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,9,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,9,110,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,9,110,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,9,110,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
9,110,NA,NA,9,110,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,9,110,9,110,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
13.5,120,NA,NA,13.5,120,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
14,120,NA,NA,NA,NA,14,120,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,10.5,170,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,16,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
14,240,NA,NA,NA,NA,14,240,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,8.5,240,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
9,75,NA,NA,9,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
11.5833333333333,75,NA,NA,NA,NA,NA,NA,11.5833333333333,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,14.5,75,NA,NA,14.5,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,16,75,NA,NA,16,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
9.41666666666667,110,9.41666666666667,110,9.41666666666667,110,9.41666666666667,110,9.41666666666667,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
13.5,110,13.5,110,13.5,110,13.5,110,13.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
14.5,110,14.5,110,14.5,110,14.5,110,14.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
15.5,110,15.5,110,15.5,110,15.5,110,15.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
19,110,19,110,19,110,19,110,19,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
14.5,120,14.5,120,14.5,120,14.5,120,14.5,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
15.5,120,15.5,120,15.5,120,15.5,120,15.5,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8.33333333333333,50,NA,NA,8.33333333333333,50,NA,NA,8.33333333333333,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
9.41666666666667,50,9.41666666666667,50,9.41666666666667,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
10.5,50,10.5,50,NA,NA,NA,NA,10.5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,11.5833333333333,50,11.5833333333333,50,NA,NA,11.5833333333333,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,13.5,50,NA,NA,13.5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
14.5,50,14.5,50,14.5,50,14.5,50,14.5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
15.5,50,15.5,50,15.5,50,15.5,50,15.5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
16.5,50,16.5,50,16.5,50,16.5,50,16.5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8.33333333333333,50,8.33333333333333,50,8.33333333333333,50,8.33333333333333,50,8.33333333333333,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
9.41666666666667,50,9.41666666666667,50,9.41666666666667,50,9.41666666666667,50,9.41666666666667,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
10.5,50,10.5,50,10.5,50,10.5,50,10.5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
11.5833333333333,50,11.5833333333333,50,11.5833333333333,50,11.5833333333333,50,11.5833333333333,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
13.5,50,13.5,50,13.5,50,13.5,50,13.5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
16,50,16,50,16,50,16,50,16,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
17,50,17,50,17,50,17,50,17,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
19,50,19,50,19,50,19,50,19,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
20,50,20,50,20,50,20,50,20,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
12,180,12,180,12,180,12,180,12,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
13,180,13,180,13,180,13,180,13,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
13.5,180,13.5,180,13.5,180,13.5,180,13.5,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
14.5,180,14.5,180,14.5,180,14.5,180,14.5,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
12,240,12,240,12,240,12,240,12,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
13,240,13,240,13,240,13,240,13,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
13.5,240,13.5,240,13.5,240,13.5,240,13.5,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
14.5,240,14.5,240,14.5,240,14.5,240,14.5,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8.41666666666667,110,NA,NA,8.41666666666667,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,10.5,110,NA,NA,10.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,13.5,110,NA,NA,13.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,15.5,110,NA,NA,15.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
10.5,110,NA,NA,10.5,110,NA,NA,10.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,13.5,110,NA,NA,13.5,110,13.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8.41666666666667,230,8.41666666666667,230,8.41666666666667,230,8.41666666666667,230,8.41666666666667,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
13.5,230,13.5,230,13.5,230,13.5,230,13.5,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
15.5,230,NA,NA,15.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,15.5,230,NA,NA,15.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
15.5,110,NA,NA,15.5,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,15.5,110,NA,NA,15.5,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
